province,date_death_report,deaths,cumulative_deaths
Alberta,23/11/2020,5,476
Alberta,24/11/2020,15,491
Alberta,25/11/2020,9,500
Alberta,26/11/2020,10,510
Alberta,27/11/2020,9,519
Alberta,28/11/2020,5,524
Alberta,29/11/2020,9,533
Alberta,30/11/2020,8,541
Alberta,01/12/2020,10,551
Alberta,02/12/2020,10,561
Alberta,03/12/2020,14,575
Alberta,04/12/2020,15,590
Alberta,05/12/2020,6,596
Alberta,06/12/2020,19,615
Alberta,07/12/2020,16,631
Alberta,08/12/2020,9,640
Alberta,09/12/2020,13,653
Alberta,10/12/2020,13,666
Alberta,11/12/2020,18,684
Alberta,12/12/2020,13,697
Alberta,13/12/2020,22,719
Alberta,14/12/2020,14,733
Alberta,15/12/2020,11,744
Alberta,16/12/2020,16,760
Alberta,17/12/2020,30,790
Alberta,18/12/2020,25,815
Alberta,19/12/2020,26,841
Alberta,20/12/2020,10,851
Alberta,21/12/2020,9,860
Alberta,22/12/2020,11,871
Alberta,23/12/2020,19,890
Alberta,24/12/2020,0,890
Alberta,25/12/2020,0,890
Alberta,26/12/2020,0,890
Alberta,27/12/2020,0,890
Alberta,28/12/2020,112,1002
Alberta,29/12/2020,26,1028
Alberta,30/12/2020,18,1046
Alberta,31/12/2020,0,1046
Alberta,01/01/2021,0,1046
Alberta,02/01/2021,0,1046
Alberta,03/01/2021,0,1046
Alberta,04/01/2021,96,1142
Alberta,05/01/2021,26,1168
Alberta,06/01/2021,25,1193
Alberta,07/01/2021,24,1217
Alberta,08/01/2021,24,1241
Alberta,09/01/2021,31,1272
Alberta,10/01/2021,12,1284
Alberta,11/01/2021,23,1307
Alberta,12/01/2021,38,1345
Alberta,13/01/2021,23,1368
Alberta,14/01/2021,21,1389
Alberta,15/01/2021,13,1402
Alberta,16/01/2021,15,1417
Alberta,17/01/2021,19,1436
Alberta,18/01/2021,11,1447
Alberta,19/01/2021,16,1463
Alberta,20/01/2021,21,1484
Alberta,21/01/2021,16,1500
Alberta,22/01/2021,12,1512
Alberta,23/01/2021,13,1525
Alberta,24/01/2021,24,1549
Alberta,25/01/2021,25,1574
Alberta,26/01/2021,13,1587
Alberta,27/01/2021,12,1599
Alberta,28/01/2021,7,1606
Alberta,29/01/2021,14,1620
Alberta,30/01/2021,11,1631
Alberta,31/01/2021,8,1639
Alberta,01/02/2021,8,1647
Alberta,02/02/2021,13,1660
Alberta,03/02/2021,11,1671
Alberta,04/02/2021,13,1684
Alberta,05/02/2021,9,1693
Alberta,06/02/2021,12,1705
Alberta,07/02/2021,4,1709
Alberta,08/02/2021,1,1710
Alberta,09/02/2021,12,1722
Alberta,10/02/2021,6,1728
Alberta,11/02/2021,16,1744
Alberta,12/02/2021,16,1760
Alberta,13/02/2021,15,1775
Alberta,14/02/2021,5,1780
Alberta,15/02/2021,2,1782
Alberta,16/02/2021,9,1791
Alberta,17/02/2021,7,1798
Alberta,18/02/2021,7,1805
Alberta,19/02/2021,7,1812
Alberta,20/02/2021,6,1818
Alberta,21/02/2021,9,1827
Alberta,22/02/2021,16,1843
Alberta,23/02/2021,10,1853
Alberta,24/02/2021,13,1866
Alberta,25/02/2021,8,1874
Alberta,26/02/2021,3,1877
Alberta,27/02/2021,6,1883
Alberta,28/02/2021,3,1886
Alberta,01/03/2021,2,1888
Alberta,02/03/2021,2,1890
Alberta,03/03/2021,12,1902
Alberta,04/03/2021,9,1911
Alberta,05/03/2021,2,1913
Alberta,06/03/2021,1,1914
Alberta,07/03/2021,0,1914
